palavra,canonicidade,tonicidade
adotiva,False,paroxítona
adotivo,False,paroxítona
adoçada,False,paroxítona
adoçado,False,paroxítona
adoçamo,False,paroxítona
adoçara,False,paroxítona
adoçará,False,oxítona
adoçava,False,paroxítona
adubada,False,paroxítona
adubado,False,paroxítona
adubamo,False,paroxítona
adubara,False,paroxítona
adubará,False,oxítona
adubava,False,paroxítona
adubemo,False,paroxítona
adulada,False,paroxítona
adulado,False,paroxítona
adulamo,False,paroxítona
adulara,False,paroxítona
adulará,False,oxítona
adulava,False,paroxítona
adulemo,False,paroxítona
adutora,False,paroxítona
advimo,False,paroxítona
adviremos,False,paroxítona
advirá,False,oxítona
advoga,False,paroxítona
advogadas,False,paroxítona
advogados,False,paroxítona
advogamos,False,paroxítona
advogaras,False,paroxítona
advogares,False,paroxítona
advogarás,False,oxítona
advogavas,False,paroxítona
advogo,False,paroxítona
advogá,False,oxítona
adão,False,paroxítona
afadiga,False,paroxítona
afadigo,False,paroxítona
afadigá,False,oxítona
afagada,False,paroxítona
afagado,False,paroxítona
afagamo,False,paroxítona
afagara,False,paroxítona
afagará,False,oxítona
afagava,False,paroxítona
afaguei,False,oxítona
afamada,False,paroxítona
afamado,False,paroxítona
afanada,False,paroxítona
afanado,False,paroxítona
afanamo,False,paroxítona
afanara,False,paroxítona
afanará,False,oxítona
afanava,False,paroxítona
afanemo,False,paroxítona
afanosa,False,paroxítona
afanoso,False,paroxítona
afeita,False,paroxítona
afeito,False,paroxítona
afemina,False,paroxítona
afemine,False,paroxítona
afemino,False,paroxítona
afeminá,False,oxítona
aferida,False,paroxítona
aferido,False,paroxítona
aferimo,False,paroxítona
aferira,False,paroxítona
aferirá,False,oxítona
afetada,False,paroxítona
afetado,False,paroxítona
afetamo,False,paroxítona
afetara,False,paroxítona
afetará,False,oxítona
afetava,False,paroxítona
afetemo,False,paroxítona
afetiva,False,paroxítona
afetivo,False,paroxítona
afigura,False,paroxítona
afigure,False,paroxítona
afiguro,False,paroxítona
afigurá,False,oxítona
afinada,False,paroxítona
afinado,False,paroxítona
afinamo,False,paroxítona
afinara,False,paroxítona
afinará,False,oxítona
afinava,False,paroxítona
afinemo,False,paroxítona
afivela,False,paroxítona
afivele,False,paroxítona
afivelo,False,paroxítona
afivelá,False,oxítona
afixada,False,paroxítona
afixado,False,paroxítona
afixamo,False,paroxítona
afixara,False,paroxítona
afixará,False,oxítona
afixava,False,paroxítona
afixemo,False,paroxítona
aflige,False,paroxítona
afligi,False,oxítona
afligidas,False,paroxítona
afligidos,False,paroxítona
afligimos,False,paroxítona
afligiras,False,paroxítona
afligires,False,paroxítona
afligirás,False,oxítona
aflija,False,paroxítona
aflijamos,False,paroxítona
aflijo,False,paroxítona
aflita,False,paroxítona
aflitivas,False,paroxítona
aflitivos,False,paroxítona
aflito,False,paroxítona
aflora,False,paroxítona
afloradas,False,paroxítona
aflorados,False,paroxítona
afloramos,False,paroxítona
afloraras,False,paroxítona
aflorares,False,paroxítona
aflorarás,False,oxítona
afloravas,False,paroxítona
aflore,False,paroxítona
afloremos,False,paroxítona
afloro,False,paroxítona
aflorá,False,oxítona
afluxo,False,paroxítona
afobada,False,paroxítona
afobado,False,paroxítona
afobamo,False,paroxítona
afobara,False,paroxítona
afobará,False,oxítona
afobava,False,paroxítona
afobemo,False,paroxítona
afofada,False,paroxítona
afofado,False,paroxítona
afofamo,False,paroxítona
afofara,False,paroxítona
afofará,False,oxítona
afofava,False,paroxítona
afofemo,False,paroxítona
afogada,False,paroxítona
afogado,False,paroxítona
afogamo,False,paroxítona
afogara,False,paroxítona
afogará,False,oxítona
afogava,False,paroxítona
afoguei,False,oxítona
afoita,False,paroxítona
afoite,False,paroxítona
afoito,False,paroxítona
afoitá,False,oxítona
aforada,False,paroxítona
aforado,False,paroxítona
aforamo,False,paroxítona
aforara,False,paroxítona
aforará,False,oxítona
aforava,False,paroxítona
aforemo,False,paroxítona
africanas,False,paroxítona
africanos,False,paroxítona
aftosa,False,paroxítona
afunila,False,paroxítona
afunile,False,paroxítona
afunilo,False,paroxítona
afunilá,False,oxítona
afônica,False,proparoxítona
afônico,False,proparoxítona
age,False,paroxítona
agi,False,oxítona
agiliza,False,paroxítona
agilize,False,paroxítona
agilizo,False,paroxítona
agilizá,False,oxítona
agiremo,False,paroxítona
agitada,False,paroxítona
agitado,False,paroxítona
agitamo,False,paroxítona
agitara,False,paroxítona
agitará,False,oxítona
agitava,False,paroxítona
agitemo,False,paroxítona
agiu,False,oxítona
aglomerar,False,oxítona
aglomeras,False,paroxítona
aglomeres,False,paroxítona
aglutinar,False,oxítona
aglutinas,False,paroxítona
aglutines,False,paroxítona
agoniza,False,paroxítona
agonize,False,paroxítona
agonizo,False,paroxítona
agonizá,False,oxítona
agoura,False,paroxítona
agoure,False,paroxítona
agouro,False,paroxítona
agourá,False,oxítona
agrada,False,paroxítona
agradadas,False,paroxítona
agradados,False,paroxítona
agradamos,False,paroxítona
agradaras,False,paroxítona
agradares,False,paroxítona
agradarás,False,oxítona
agradavas,False,paroxítona
agrade,False,paroxítona
agradecer,False,oxítona
agradeces,False,paroxítona
agrademos,False,paroxítona
agradeças,False,paroxítona
agrado,False,paroxítona
agradá,False,oxítona
agradável,False,paroxítona
agrava,False,paroxítona
agravadas,False,paroxítona
agravados,False,paroxítona
agravamos,False,paroxítona
agravaras,False,paroxítona
agravares,False,paroxítona
agravarás,False,oxítona
agravavas,False,paroxítona
agrave,False,paroxítona
agravemos,False,paroxítona
agravo,False,paroxítona
agravá,False,oxítona
agredi,False,oxítona
agredidas,False,paroxítona
agredidos,False,paroxítona
agredimos,False,paroxítona
agrediras,False,paroxítona
agredires,False,paroxítona
agredirás,False,oxítona
agrega,False,paroxítona
agregadas,False,paroxítona
agregados,False,paroxítona
agregamos,False,paroxítona
agregaras,False,paroxítona
agregares,False,paroxítona
agregarás,False,oxítona
agregavas,False,paroxítona
agrego,False,paroxítona
agregá,False,oxítona
agrida,False,paroxítona
agridamos,False,paroxítona
agride,False,paroxítona
agrido,False,paroxítona
agridoces,False,paroxítona
agrupa,False,paroxítona
agrupadas,False,paroxítona
agrupados,False,paroxítona
agrupamos,False,paroxítona
agruparas,False,paroxítona
agrupares,False,paroxítona
agruparás,False,oxítona
agrupavas,False,paroxítona
agrupe,False,paroxítona
agrupemos,False,paroxítona
agrupo,False,paroxítona
agrupá,False,oxítona
agrura,False,paroxítona
agrícolas,False,proparoxítona
agrônomas,False,proparoxítona
agrônomos,False,proparoxítona
aguai,False,oxítona
agucemo,False,paroxítona
agudeza,False,paroxítona
aguou,False,oxítona
aguá,False,oxítona
aguçada,False,paroxítona
aguçado,False,paroxítona
aguçamo,False,paroxítona
aguçara,False,paroxítona
aguçará,False,oxítona
aguçava,False,paroxítona
agüemo,False,paroxítona
aja,False,paroxítona
ajeita,False,paroxítona
ajeite,False,paroxítona
ajeito,False,paroxítona
ajeitá,False,oxítona
ajo,False,paroxítona
ajudada,False,paroxítona
ajudado,False,paroxítona
ajudamo,False,paroxítona
ajudara,False,paroxítona
ajudará,False,oxítona
ajudava,False,paroxítona
ajudemo,False,paroxítona
ajuizá,False,oxítona
ala,False,paroxítona
alagada,False,paroxítona
alagado,False,paroxítona
alagamo,False,paroxítona
alagara,False,paroxítona
alagará,False,oxítona
alagava,False,paroxítona
alaguei,False,oxítona
alameda,False,paroxítona
alanina,False,paroxítona
alarido,False,paroxítona
albanesas,False,paroxítona
albaneses,False,paroxítona
albedo,False,paroxítona
albina,False,paroxítona
albino,False,paroxítona
alcalinas,False,paroxítona
alcalinos,False,paroxítona
alcaloses,False,paroxítona
alcemo,False,paroxítona
alcova,False,paroxítona
alegada,False,paroxítona
alegado,False,paroxítona
alegamo,False,paroxítona
alegara,False,paroxítona
alegará,False,oxítona
alegava,False,paroxítona
aleguei,False,oxítona
aleija,False,paroxítona
aleije,False,paroxítona
aleijo,False,paroxítona
aleijá,False,oxítona
aleita,False,paroxítona
aleite,False,paroxítona
aleito,False,paroxítona
aleitá,False,oxítona
alfabetos,False,paroxítona
alface,False,paroxítona
alfafa,False,paroxítona
alfinetes,False,paroxítona
algema,False,paroxítona
algemadas,False,paroxítona
algemados,False,paroxítona
algemamos,False,paroxítona
algemaras,False,paroxítona
algemares,False,paroxítona
algemarás,False,oxítona
algemavas,False,paroxítona
algeme,False,paroxítona
algememos,False,paroxítona
algemo,False,paroxítona
algemá,False,oxítona
alguma,False,paroxítona
ali,False,oxítona
alicate,False,paroxítona
alijada,False,paroxítona
alijado,False,paroxítona
alijamo,False,paroxítona
alijara,False,paroxítona
alijará,False,oxítona
alijava,False,paroxítona
alijemo,False,paroxítona
alisada,False,paroxítona
alisado,False,paroxítona
alisamo,False,paroxítona
alisara,False,paroxítona
alisará,False,oxítona
alisava,False,paroxítona
alisemo,False,paroxítona
almaço,False,paroxítona
almeja,False,paroxítona
almejadas,False,paroxítona
almejados,False,paroxítona
almejamos,False,paroxítona
almejaras,False,paroxítona
almejares,False,paroxítona
almejarás,False,oxítona
almejavas,False,paroxítona
almeje,False,paroxítona
almejemos,False,paroxítona
almejo,False,paroxítona
almejá,False,oxítona
almoce,False,paroxítona
almocemos,False,paroxítona
almofadas,False,paroxítona
almoça,False,paroxítona
almoçadas,False,paroxítona
almoçados,False,paroxítona
almoçamos,False,paroxítona
almoçaras,False,paroxítona
almoçares,False,paroxítona
almoçarás,False,oxítona
almoçavas,False,paroxítona
almoço,False,paroxítona
almoçá,False,oxítona
alocada,False,paroxítona
alocado,False,paroxítona
alocamo,False,paroxítona
alocara,False,paroxítona
alocará,False,oxítona
alocava,False,paroxítona
alojada,False,paroxítona
alojado,False,paroxítona
alojamo,False,paroxítona
alojara,False,paroxítona
alojará,False,oxítona
alojava,False,paroxítona
alojemo,False,paroxítona
alopata,False,paroxítona
aloquei,False,oxítona
aloura,False,paroxítona
aloure,False,paroxítona
alouro,False,paroxítona
alourá,False,oxítona
alpina,False,paroxítona
alpino,False,paroxítona
altera,False,paroxítona
alteradas,False,paroxítona
alterados,False,paroxítona
alteramos,False,paroxítona
alteraras,False,paroxítona
alterares,False,paroxítona
alterarás,False,oxítona
alteravas,False,paroxítona
altere,False,paroxítona
alteremos,False,paroxítona
altero,False,paroxítona
alterosas,False,paroxítona
alterosos,False,paroxítona
alterá,False,oxítona
alteza,False,paroxítona
altitudes,False,paroxítona
altiva,False,paroxítona
altivo,False,paroxítona
altura,False,paroxítona
alucina,False,paroxítona
alucine,False,paroxítona
alucino,False,paroxítona
aluciná,False,oxítona
aludamo,False,paroxítona
aludida,False,paroxítona
aludido,False,paroxítona
aludimo,False,paroxítona
aludira,False,paroxítona
aludirá,False,oxítona
alugada,False,paroxítona
alugado,False,paroxítona
alugamo,False,paroxítona
alugara,False,paroxítona
alugará,False,oxítona
alugava,False,paroxítona
aluguei,False,oxítona
alusiva,False,paroxítona
alusivo,False,paroxítona
alvará,False,oxítona
alveja,False,paroxítona
alvejadas,False,paroxítona
alvejados,False,paroxítona
alvejamos,False,paroxítona
alvejaras,False,paroxítona
alvejares,False,paroxítona
alvejarás,False,oxítona
alvejavas,False,paroxítona
alveje,False,paroxítona
alvejemos,False,paroxítona
alvejo,False,paroxítona
alvejá,False,oxítona
alvoradas,False,paroxítona
alvorecer,False,oxítona
alvoreces,False,paroxítona
alvoreças,False,paroxítona
alvoroces,False,paroxítona
alvoroçar,False,oxítona
alvoroças,False,paroxítona
alvoroços,False,paroxítona
alvura,False,paroxítona
alçada,False,paroxítona
alçado,False,paroxítona
alçamo,False,paroxítona
alçara,False,paroxítona
alçaremos,False,paroxítona
alçará,False,oxítona
alçava,False,paroxítona
alçáramos,False,proparoxítona
alçávamos,False,proparoxítona
alô,False,oxítona
ama,False,paroxítona
amadora,False,paroxítona
amai,False,oxítona
amaina,False,paroxítona
amaine,False,paroxítona
amaino,False,paroxítona
amainá,False,oxítona
amarela,False,paroxítona
amarele,False,paroxítona
amarelo,False,paroxítona
amarelá,False,oxítona
amaremo,False,paroxítona
amazona,False,paroxítona
ame,False,paroxítona
amei,False,oxítona
ameixa,False,paroxítona
ameniza,False,paroxítona
amenize,False,paroxítona
amenizo,False,paroxítona
amenizá,False,oxítona
amigada,False,paroxítona
amigado,False,paroxítona
amigamo,False,paroxítona
amigara,False,paroxítona
amigará,False,oxítona
amigava,False,paroxítona
amigona,False,paroxítona
amiguei,False,oxítona
amimada,False,paroxítona
amimado,False,paroxítona
amimamo,False,paroxítona
amimara,False,paroxítona
amimará,False,oxítona
amimava,False,paroxítona
amimemo,False,paroxítona
amiudá,False,oxítona
amizade,False,paroxítona
amnésicas,False,proparoxítona
amnésicos,False,proparoxítona
amo,False,paroxítona
amoita,False,paroxítona
amoite,False,paroxítona
amoito,False,paroxítona
amoitá,False,oxítona
amolada,False,paroxítona
amolado,False,paroxítona
amolamo,False,paroxítona
amolara,False,paroxítona
amolará,False,oxítona
amolava,False,paroxítona
amolece,False,paroxítona
amoleci,False,oxítona
amolecê,False,oxítona
amolemo,False,paroxítona
amoleça,False,paroxítona
amoleço,False,paroxítona
amorosa,False,paroxítona
amoroso,False,paroxítona
amotina,False,paroxítona
amotine,False,paroxítona
amotino,False,paroxítona
amotiná,False,oxítona
amou,False,oxítona
ampara,False,paroxítona
amparadas,False,paroxítona
amparados,False,paroxítona
amparamos,False,paroxítona
ampararas,False,paroxítona
amparares,False,paroxítona
ampararás,False,oxítona
amparavas,False,paroxítona
ampare,False,paroxítona
amparemos,False,paroxítona
amparo,False,paroxítona
ampará,False,oxítona
ampola,False,paroxítona
amputa,False,paroxítona
amputadas,False,paroxítona
amputados,False,paroxítona
amputamos,False,paroxítona
amputaras,False,paroxítona
amputares,False,paroxítona
amputarás,False,oxítona
amputavas,False,paroxítona
ampute,False,paroxítona
amputemos,False,paroxítona
amputo,False,paroxítona
amputá,False,oxítona
amuleto,False,paroxítona
amá,False,oxítona
américa,False,proparoxítona
analisa,False,paroxítona
analise,False,paroxítona
analiso,False,paroxítona
analisá,False,oxítona
ancora,False,paroxítona
ancoradas,False,paroxítona
ancorados,False,paroxítona
ancoramos,False,paroxítona
ancoraras,False,paroxítona
ancorares,False,paroxítona
ancorarás,False,oxítona
ancoravas,False,paroxítona
ancore,False,paroxítona
ancoremos,False,paroxítona
ancoro,False,paroxítona
ancorá,False,oxítona
andada,False,paroxítona
andado,False,paroxítona
andaduras,False,paroxítona
andaluzes,False,paroxítona
andamo,False,paroxítona
andara,False,paroxítona
andaremos,False,paroxítona
andará,False,oxítona
andava,False,paroxítona
andemo,False,paroxítona
andáramos,False,proparoxítona
andávamos,False,proparoxítona
anedota,False,paroxítona
anelada,False,paroxítona
anelado,False,paroxítona
anelamo,False,paroxítona
anelara,False,paroxítona
anelará,False,oxítona
anelava,False,paroxítona
anelemo,False,paroxítona
anexada,False,paroxítona
anexado,False,paroxítona
anexamo,False,paroxítona
anexara,False,paroxítona
anexará,False,oxítona
anexava,False,paroxítona
anexemo,False,paroxítona
angelical,False,oxítona
angico,False,paroxítona
angina,False,paroxítona
angolanas,False,paroxítona
angolanos,False,paroxítona
angulares,False,paroxítona
angulosos,False,paroxítona
angélicas,False,proparoxítona
angélicos,False,proparoxítona
anilina,False,paroxítona
animada,False,paroxítona
animado,False,paroxítona
animamo,False,paroxítona
animara,False,paroxítona
animará,False,oxítona
animava,False,paroxítona
animemo,False,paroxítona
animosa,False,paroxítona
animoso,False,paroxítona
ano,False,paroxítona
anotada,False,paroxítona
anotado,False,paroxítona
anotamo,False,paroxítona
anotara,False,paroxítona
anotará,False,oxítona
anotava,False,paroxítona
anotemo,False,paroxítona
antecedas,False,paroxítona
anteceder,False,oxítona
antecedes,False,paroxítona
antecipar,False,oxítona
antecipas,False,paroxítona
antecipes,False,paroxítona
antedatar,False,oxítona
antedatas,False,paroxítona
antedates,False,paroxítona
antemural,False,oxítona
antena,False,paroxítona
anteparos,False,paroxítona
antepomos,False,paroxítona
antepores,False,paroxítona
anteporás,False,oxítona
antepuser,False,oxítona
antepô,False,oxítona
antevedes,False,paroxítona
antevejas,False,paroxítona
antevemos,False,paroxítona
anteveres,False,paroxítona
anteverás,False,oxítona
antevi,False,oxítona
antevimos,False,paroxítona
anteviras,False,paroxítona
antevires,False,paroxítona
antevê,False,oxítona
antiga,False,paroxítona
antigo,False,paroxítona
antipapas,False,paroxítona
antídotos,False,proparoxítona
antífonas,False,proparoxítona
antígenos,False,proparoxítona
antílopes,False,proparoxítona
antíteses,False,proparoxítona
antônimas,False,proparoxítona
antônimos,False,proparoxítona
anuirá,False,oxítona
anuiu,False,oxítona
anulada,False,paroxítona
anulado,False,paroxítona
anulamo,False,paroxítona
anulara,False,paroxítona
anulará,False,oxítona
anulava,False,paroxítona
anulemo,False,paroxítona
anáfora,False,proparoxítona
análise,False,proparoxítona
análoga,False,proparoxítona
análogo,False,proparoxítona
anátema,False,proparoxítona
anão,False,paroxítona
anêmica,False,proparoxítona
anêmico,False,proparoxítona
anímica,False,proparoxítona
anímico,False,proparoxítona
anômala,False,proparoxítona
anômalo,False,proparoxítona
anônima,False,proparoxítona
anônimo,False,proparoxítona
apagada,False,paroxítona
apagado,False,paroxítona
apagamo,False,paroxítona
apagara,False,paroxítona
apagará,False,oxítona
apagava,False,paroxítona
apaguei,False,oxítona
aparada,False,paroxítona
aparado,False,paroxítona
aparamo,False,paroxítona
aparara,False,paroxítona
aparará,False,oxítona
aparato,False,paroxítona
aparava,False,paroxítona
aparece,False,paroxítona
apareci,False,oxítona
aparecê,False,oxítona
aparemo,False,paroxítona
apareça,False,paroxítona
apareço,False,paroxítona
apavora,False,paroxítona
apavore,False,paroxítona
apavoro,False,paroxítona
apavorá,False,oxítona
apegada,False,paroxítona
apegado,False,paroxítona
apegamo,False,paroxítona
apegara,False,paroxítona
apegará,False,oxítona
apegava,False,paroxítona
apeguei,False,oxítona
apelada,False,paroxítona
apelado,False,paroxítona
apelamo,False,paroxítona
apelara,False,paroxítona
apelará,False,oxítona
apelava,False,paroxítona
apelemo,False,paroxítona
apelida,False,paroxítona
apelide,False,paroxítona
apelido,False,paroxítona
apelidá,False,oxítona
apenada,False,paroxítona
apenado,False,paroxítona
